"Ad","Ad giver","Wanted","Section","Self description","Partner preference adjective","Caste (of ad giver)/Clan or religion","Education/Profession (of ad giver)","Salary (of  ad giver)","Dowry","Age","Height"
1,"Boy","Bride","Agarwal-bisa","affluent","NA","Agarwal - CNB","Btech MBA, father industrialist","1 crore","No",28,"5'11"
2,"Boy","Bride","Jain","fair, Jain","Qualified, working","Jain","IIT IIM","45 LPA",,28,"5'5"
3,"Boy","Bride","Kayastha","handsome","Non-manglik, fair, slim","Kayastha - CNB","Btech","9 LPA",,"June 1989","5'11"
4,"Boy","Bride","Kayastha","NA","NA","Kayastha - CNB","Btech IIT IIM MBA, father govt officer","40 LPA","No",29,"5'11"
5,"Boy","Bride","Khatri","NA","NA","Khatri Bhasin","Scientist engineer, class 1 officer",,,1987,"5'10"
6,"Boy","Bride","Tamil Iyer","Wheatish","NA","Palakkad Brahmin Iyer","Senior Manager",,,36,"176 cms"
7,"Boy","Bride","Agarwal","handsome","homely, non-working, Adjusting-nature, Bsc(PCM)-Msc(Math)","Gupta","MBA LLB",,,31,"5'6"
8,"Boy","Bride","Malayali","Roman-catholic, divorced, well-educated","Pleasing-personality, suitably-qualified, well-educated, malayali, mumbai-kerala-based","Malayali","NA",,,47,"180 cms"
9,"Boy","Bride","Maratha","Financially-well-off","Suitably-educated ","96 Kuli Maratha","MCOM CA finalist, father is CA",,,31,"5'8"
10,"Boy","Bride","Christian","Phd-from-IIT","Well-qualified, beautiful, working","Christian","Post graduate, goverment job",,,27,"5'7"
11,"Boy","Bride","Hindu/NRI","Tamil-Brahmin, never-married, US-citizen","Never-married, hindu, vegetarian","Brahmin","NA",,,43,"5'5"
12,"Boy","Bride","Muslim","Computer-engineer-son","MBBS-or-Engineer, Age-24-to-27","Sunni Muslim","Mtech IIT",,,30,"5'10"
13,"Boy","Bride","Muslim","handsome, renowned, affluent-family, UK-citizen, high-profile-job","tall, very-beautiful, educated","NA","UK educated",,,33,"6'2"
14,"Boy","Bride","Sikh","clean-shaven ramghria","Suitable-match, decent-family","Ahluwalia-Sikh","PGDBM-family business",,,"Jan 1991","5'10"
15,"Boy","Bride","Rajput","handsome rajput, fair, smart","NA","Rajput-CNB","MBA",,,1981,"5'10"
16,"Boy","Bride","Sikh","smart, clean-shaven sikh","educated, beautiful","Sikh","CFA MBA, bank manager in Canada, parents well-settled",,,33,"5'11"
